---------------------------------------------------------------------------------
--------------------------------------Time:60-------------------------------------
|PlaneID        |Status         |Request-Time   |Runway-Time    |Turnaround-Time|
---------------------------------------------------------------------------------
|0              |L              |0              |3              |3              |
|1              |D              |0              |11             |11             |
|2              |L              |0              |5              |5              |
|3              |D              |2              |13             |11             |
|4              |L              |3              |7              |4              |
|5              |D              |3              |15             |12             |
|6              |D              |5              |19             |14             |
|7              |L              |6              |9              |3              |
|8              |D              |7              |25             |18             |
|9              |L              |8              |17             |9              |
|10             |D              |8              |27             |19             |
|11             |L              |9              |21             |12             |
|12             |D              |9              |29             |20             |
|13             |L              |10             |23             |13             |
|14             |D              |12             |33             |21             |
|15             |D              |13             |37             |24             |
|16             |D              |14             |41             |27             |
|17             |L              |15             |31             |16             |
|18             |D              |15             |45             |30             |
|19             |L              |16             |35             |19             |
|20             |D              |16             |47             |31             |
|21             |L              |17             |39             |22             |
|22             |D              |20             |55             |35             |
|23             |L              |21             |49             |28             |
|24             |D              |21             |57             |36             |
|25             |L              |22             |51             |29             |
|26             |L              |23             |53             |30             |
|27             |D              |23             |-              |-              |
|28             |D              |24             |-              |-              |
|29             |L              |25             |59             |34             |
|30             |D              |25             |-              |-              |
|31             |L              |26             |-              |-              |
|32             |D              |26             |-              |-              |
|33             |L              |28             |-              |-              |
|34             |L              |29             |-              |-              |
|35             |L              |30             |-              |-              |
|36             |D              |31             |-              |-              |
|37             |D              |32             |-              |-              |
|38             |L              |33             |-              |-              |
|39             |L              |34             |-              |-              |
|40             |D              |35             |-              |-              |
|41             |L              |36             |-              |-              |
|42             |D              |36             |-              |-              |
|43             |D              |37             |-              |-              |
|44             |L              |38             |-              |-              |
|45             |D              |39             |-              |-              |
|46             |E(L)           |40             |43             |3              |
|47             |L              |41             |-              |-              |
|48             |L              |42             |-              |-              |
|49             |D              |43             |-              |-              |
|50             |L              |44             |-              |-              |
|51             |L              |45             |-              |-              |
|52             |L              |46             |-              |-              |
|53             |D              |49             |-              |-              |
|54             |L              |50             |-              |-              |
|55             |D              |50             |-              |-              |
|56             |L              |51             |-              |-              |
|57             |D              |52             |-              |-              |
|58             |L              |53             |-              |-              |
|59             |D              |53             |-              |-              |
|60             |L              |54             |-              |-              |
|61             |L              |55             |-              |-              |
|62             |D              |55             |-              |-              |
|63             |D              |56             |-              |-              |
|64             |L              |57             |-              |-              |
|65             |D              |57             |-              |-              |
|66             |L              |58             |-              |-              |
|67             |D              |58             |-              |-              |
|68             |L              |59             |-              |-              |
---------------------------------------------------------------------------------

